batch_id,datetime,location,current_hop_clean,external_storage_clean,nombre_lectures,temperature_min,temperature_max,temperature_moyenne,humidite_moyenne,item_expiry_hours_min,ultra_low_temperature_freezer_hours_max,out_of_bound_temperature_hours_max,refrigeration_temperature_hours_max,temperature_range,temperature_change_from_previous_hour,temperature_max_rolling_mean_3h,temperature_max_rolling_std_3h,temperature_deviation_from_rolling_mean,thermal_regime,context_group,storage_median,deviation_from_storage_median,absolute_deviation_from_storage_median,current_hop_clean_air_transit,current_hop_clean_dest_air_cargo,current_hop_clean_dest_reefer_truck,current_hop_clean_dest_vaccine_storage_unit,current_hop_clean_source_air_cargo,current_hop_clean_source_hub,current_hop_clean_source_reefer_truck,external_storage_clean_reefer_truck,external_storage_clean_ultra_low_temperature_freezer,external_storage_clean_vaccine_storage_unit,anomaly_score,is_anomaly
batch001,2020-09-01 01:00:00,"Kalamazoo, Michigan",source_hub,ultra_low_temperature_freezer,2,-71,-69,-70.0,95.0,840,0,0,0,2,0.0,-69.0,0.0,0.0,ultra_low,ultra_low_source_hub_ultra_low_temperature_freezer,-69.0,0.0,0.0,False,False,False,False,False,True,False,False,True,False,-0.12185941823838659,False
batch001,2020-09-01 02:00:00,"Kalamazoo, Michigan",source_hub,ultra_low_temperature_freezer,2,-71,-69,-70.0,95.0,840,0,0,0,2,0.0,-69.0,0.0,0.0,ultra_low,ultra_low_source_hub_ultra_low_temperature_freezer,-69.0,0.0,0.0,False,False,False,False,False,True,False,False,True,False,-0.12185941823838659,False
batch001,2020-09-01 03:00:00,"Kalamazoo, Michigan",source_hub,ultra_low_temperature_freezer,2,-71,-70,-70.5,95.0,840,0,0,0,1,-1.0,-69.33333333333333,0.5773502691896278,-0.6666666666666714,ultra_low,ultra_low_source_hub_ultra_low_temperature_freezer,-69.0,-1.0,1.0,False,False,False,False,False,True,False,False,True,False,-0.12521608800923628,False
batch001,2020-09-01 04:00:00,"Kalamazoo, Michigan",source_hub,ultra_low_temperature_freezer,2,-71,-69,-70.0,95.0,840,0,0,0,2,1.0,-69.33333333333333,0.5773502691896278,0.3333333333333286,ultra_low,ultra_low_source_hub_ultra_low_temperature_freezer,-69.0,0.0,0.0,False,False,False,False,False,True,False,False,True,False,-0.1397300124108647,False
batch001,2020-09-01 05:00:00,"Kalamazoo, Michigan",source_hub,ultra_low_temperature_freezer,1,-69,-69,-69.0,95.0,840,0,0,0,0,0.0,-69.33333333333333,0.5773502691896278,0.3333333333333286,ultra_low,ultra_low_source_hub_ultra_low_temperature_freezer,-69.0,0.0,0.0,False,False,False,False,False,True,False,False,True,False,-0.15406275549443682,False
batch001,2020-09-01 06:00:00,"Kalamazoo, Michigan",source_hub,ultra_low_temperature_freezer,2,-70,-69,-69.5,95.0,840,0,0,0,1,0.0,-69.0,0.0,0.0,ultra_low,ultra_low_source_hub_ultra_low_temperature_freezer,-69.0,0.0,0.0,False,False,False,False,False,True,False,False,True,False,-0.1519615876032529,False
batch001,2020-09-01 07:00:00,"Kalamazoo, Michigan",source_hub,ultra_low_temperature_freezer,1,-71,-71,-71.0,95.0,840,0,0,0,0,-2.0,-69.66666666666667,1.1547005383792495,-1.3333333333333286,ultra_low,ultra_low_source_hub_ultra_low_temperature_freezer,-69.0,-2.0,2.0,False,False,False,False,False,True,False,False,True,False,-0.08509131754198818,False
batch001,2020-09-01 08:00:00,"Kalamazoo, Michigan",source_hub,ultra_low_temperature_freezer,2,-71,-71,-71.0,95.0,840,0,0,0,0,0.0,-70.33333333333333,1.1547005383792495,-0.6666666666666714,ultra_low,ultra_low_source_hub_ultra_low_temperature_freezer,-69.0,-2.0,2.0,False,False,False,False,False,True,False,False,True,False,-0.0932909880067273,False
batch001,2020-09-01 09:00:00,"Kalamazoo, Michigan",source_hub,ultra_low_temperature_freezer,2,-71,-69,-70.0,95.0,840,0,0,0,2,2.0,-70.33333333333333,1.1547005383792495,1.3333333333333286,ultra_low,ultra_low_source_hub_ultra_low_temperature_freezer,-69.0,0.0,0.0,False,False,False,False,False,True,False,False,True,False,-0.10760601136885178,False
batch001,2020-09-01 10:00:00,"Kalamazoo, Michigan",source_hub,ultra_low_temperature_freezer,2,-70,-69,-69.5,95.0,840,0,0,0,1,0.0,-69.66666666666667,1.1547005383792495,0.6666666666666714,ultra_low,ultra_low_source_hub_ultra_low_temperature_freezer,-69.0,0.0,0.0,False,False,False,False,False,True,False,False,True,False,-0.15943392340486312,False
